Date,Fear_Greed_Score,Fear_Greed_Score_Rating,SPX_Close
2020-09-14,50.0,neutral,3383.54
2020-09-15,50.0,neutral,3401.2
2020-09-16,50.0,neutral,3385.49
2020-09-17,50.0,neutral,3357.01
2020-09-18,50.0,neutral,3319.47
2020-09-21,50.0,neutral,3281.06
2020-09-22,50.0,neutral,3315.57
2020-09-23,50.0,neutral,3236.92
2020-09-24,50.0,neutral,3246.59
2020-09-25,50.0,neutral,3298.46
2020-09-28,50.0,neutral,3351.6
2020-09-29,50.0,neutral,3335.47
2020-09-30,50.0,neutral,3363.0
2020-10-01,50.0,neutral,3380.8
2020-10-02,50.0,neutral,3348.44
2020-10-05,50.0,neutral,3408.63
2020-10-06,50.0,neutral,3360.95
2020-10-07,50.0,neutral,3419.45
2020-10-08,50.0,neutral,3446.83
2020-10-09,50.0,neutral,3477.13
2020-10-12,50.0,neutral,3534.22
2020-10-13,50.0,neutral,3511.93
2020-10-14,50.0,neutral,3488.67
2020-10-15,50.0,neutral,3483.34
2020-10-16,50.0,neutral,3483.81
2020-10-19,50.0,neutral,3426.92
2020-10-20,50.0,neutral,3443.12
2020-10-21,50.0,neutral,3435.56
2020-10-22,50.0,neutral,3453.49
2020-10-23,50.0,neutral,3465.39
2020-10-26,2.7,extreme fear,3400.97
2020-10-27,2.3000000000000003,extreme fear,3390.68
2020-10-28,0.30000000000000004,extreme fear,3271.03
2020-10-29,1.1,extreme fear,3310.11
2020-10-30,1.9000000000000001,extreme fear,3269.96
2020-11-02,2.8000000000000003,extreme fear,3310.24
2020-11-03,3.6,extreme fear,3369.16
2020-11-04,50.0,neutral,3443.44
2020-11-05,50.0,neutral,3510.45
2020-11-06,50.0,neutral,3509.44
2020-11-09,50.0,neutral,3550.5
2020-11-10,50.0,neutral,3545.53
2020-11-11,50.0,neutral,3572.66
2020-11-12,50.0,neutral,3537.01
2020-11-13,50.0,neutral,3585.15
2020-11-16,50.0,neutral,3626.91
2020-11-17,50.0,neutral,3609.53
2020-11-18,50.0,neutral,3567.79
2020-11-19,50.0,neutral,3581.87
2020-11-20,50.0,neutral,3557.54
2020-11-23,50.0,neutral,3577.59
2020-11-24,50.0,neutral,3635.41
2020-11-25,50.0,neutral,3629.65
2020-11-27,50.0,neutral,3638.35
2020-11-30,50.0,neutral,3621.63
2020-12-01,50.0,neutral,3662.45
2020-12-02,50.0,neutral,3669.01
2020-12-03,50.0,neutral,3666.72
2020-12-04,50.0,neutral,3699.12
2020-12-07,50.0,neutral,3691.96
2020-12-08,50.0,neutral,3702.25
2020-12-09,50.0,neutral,3672.82
2020-12-10,50.0,neutral,3668.1
2020-12-11,50.0,neutral,3663.46
2020-12-14,50.0,neutral,3647.49
2020-12-15,50.0,neutral,3694.62
2020-12-16,50.0,neutral,3701.17
2020-12-17,50.0,neutral,3722.48
2020-12-18,50.0,neutral,3709.41
2020-12-21,50.0,neutral,3694.92
2020-12-22,50.0,neutral,3687.26
2020-12-23,50.0,neutral,3690.01
2020-12-24,50.0,neutral,3703.06
2020-12-28,50.0,neutral,3735.36
2020-12-29,50.0,neutral,3727.04
2020-12-30,50.0,neutral,3732.04
2020-12-31,50.0,neutral,3756.07
2021-01-04,50.0,neutral,3700.65
2021-01-05,50.0,neutral,3726.86
2021-01-06,50.0,neutral,3748.14
2021-01-07,50.0,neutral,3803.79
2021-01-08,50.0,neutral,3824.68
2021-01-11,50.0,neutral,3799.61
2021-01-12,50.0,neutral,3801.19
2021-01-13,50.0,neutral,3809.84
2021-01-14,50.0,neutral,3795.54
2021-01-15,50.0,neutral,3768.25
2021-01-19,50.0,neutral,3798.91
2021-01-20,50.0,neutral,3851.85
2021-01-21,50.0,neutral,3853.07
2021-01-22,68.9,greed,3841.47
2021-01-25,69.7,greed,3855.36
2021-01-26,67.4,greed,3849.62
2021-01-27,28.200000000000003,fear,3750.77
2021-01-28,52.900000000000006,neutral,3787.38
2021-01-29,40.966666666666676,fear,3714.24
2021-02-01,43.400000000000006,fear,3773.86
2021-02-02,60.46666666666667,greed,3826.31
2021-02-03,59.199999999999996,greed,3830.17
2021-02-04,61.06666666666667,greed,3871.74
2021-02-05,68.0,greed,3886.83
2021-02-08,72.86666666666667,greed,3915.59
2021-02-09,75.4,extreme greed,3911.23
2021-02-10,75.26666666666667,extreme greed,3909.88
2021-02-11,76.0,extreme greed,3916.38
2021-02-12,77.66666666666667,extreme greed,3934.83
2021-02-16,73.93333333333334,greed,3932.59
2021-02-17,70.2,greed,3931.33
2021-02-18,62.53333333333334,greed,3913.97
2021-02-19,56.239999999999995,greed,3906.71
2021-02-22,52.48,neutral,3876.5
2021-02-23,50.56,neutral,3881.37
2021-02-24,63.8,greed,3925.43
2021-02-25,46.160000000000004,neutral,3829.34
2021-02-26,53.52,neutral,3811.15
2021-03-01,58.52,greed,3901.82
2021-03-02,50.32000000000001,neutral,3870.29
2021-03-03,43.84,fear,3819.72
2021-03-04,37.8,fear,3768.47
2021-03-05,41.52,fear,3841.94
2021-03-08,39.08,fear,3821.35
2021-03-09,43.36,fear,3875.44
2021-03-10,45.56,neutral,3898.81
2021-03-11,50.480000000000004,neutral,3939.34
2021-03-12,53.720000000000006,neutral,3943.34
2021-03-15,56.52,greed,3968.94
2021-03-16,54.8,neutral,3962.71
2021-03-17,57.86666666666667,greed,3974.12
2021-03-18,52.333333333333336,neutral,3915.46
2021-03-19,50.833333333333336,neutral,3913.1
2021-03-22,50.699999999999996,neutral,3940.59
2021-03-23,41.800000000000004,fear,3910.52
2021-03-24,37.66666666666667,fear,3889.14
2021-03-25,37.833333333333336,fear,3909.52
2021-03-26,37.56666666666667,fear,3974.54
2021-03-29,39.56666666666667,fear,3971.09
2021-03-30,42.03333333333334,fear,3958.55
2021-03-31,44.56666666666667,fear,3972.89
2021-04-01,46.400000000000006,neutral,4019.87
2021-04-05,54.56666666666667,neutral,4077.91
2021-04-06,53.5,neutral,4073.94
2021-04-07,52.53333333333333,neutral,4079.95
2021-04-08,48.099999999999994,neutral,4097.17
2021-04-09,47.5,neutral,4128.8
2021-04-12,43.43333333333334,fear,4127.99
2021-04-13,43.63333333333333,fear,4141.59
2021-04-14,39.96666666666667,fear,4124.66
2021-04-15,47.16666666666668,neutral,4170.42
2021-04-16,51.300000000000004,neutral,4185.47
2021-04-19,45.26666666666667,neutral,4163.26
2021-04-20,42.866666666666674,fear,4134.94
2021-04-21,49.63333333333333,neutral,4173.42
2021-04-22,46.70000000000001,neutral,4134.98
2021-04-23,47.699999999999996,neutral,4180.17
2021-04-26,50.53333333333334,neutral,4187.62
2021-04-27,54.800000000000004,neutral,4186.72
2021-04-28,52.400000000000006,neutral,4183.18
2021-04-29,56.166666666666664,greed,4211.47
2021-04-30,46.53333333333333,neutral,4181.17
2021-05-03,47.56666666666667,neutral,4192.66
2021-05-04,43.46666666666667,fear,4164.66
2021-05-05,43.03333333333333,fear,4167.59
2021-05-06,43.93333333333334,fear,4201.62
2021-05-07,48.166666666666664,neutral,4232.6
2021-05-10,44.93333333333334,fear,4188.43
2021-05-11,42.03333333333334,fear,4152.1
2021-05-12,26.766666666666666,fear,4063.04
2021-05-13,34.433333333333344,fear,4112.5
2021-05-14,35.99999999999999,fear,4173.85
2021-05-17,36.36666666666667,fear,4163.29
2021-05-18,34.03333333333334,fear,4127.83
2021-05-19,32.333333333333336,fear,4115.68
2021-05-20,32.300000000000004,fear,4159.12
2021-05-21,29.433333333333334,fear,4155.86
2021-05-24,29.5,fear,4197.05
2021-05-25,26.66666666666667,fear,4188.13
2021-05-26,28.133333333333336,fear,4195.99
2021-05-27,30.3,fear,4200.88
2021-05-28,31.566666666666666,fear,4204.11
2021-06-01,35.4,fear,4202.04
2021-06-02,42.13333333333333,fear,4208.12
2021-06-03,40.800000000000004,fear,4192.85
2021-06-04,41.9,fear,4229.89
2021-06-07,44.46666666666667,fear,4226.52
2021-06-08,46.46666666666667,neutral,4227.26
2021-06-09,48.53333333333333,neutral,4219.55
2021-06-10,48.9,neutral,4239.18
2021-06-11,51.23333333333334,neutral,4247.44
2021-06-14,54.166666666666664,neutral,4255.15
2021-06-15,52.666666666666664,neutral,4246.59
2021-06-16,44.800000000000004,fear,4223.7
2021-06-17,42.03333333333334,fear,4221.86
2021-06-18,31.600000000000005,fear,4166.45
2021-06-21,32.46666666666666,fear,4224.79
2021-06-22,32.800000000000004,fear,4246.44
2021-06-23,33.26666666666667,fear,4241.84
2021-06-24,36.9,fear,4266.49
2021-06-25,41.63333333333333,fear,4280.7
2021-06-28,41.43333333333334,fear,4290.61
2021-06-29,39.833333333333336,fear,4291.8
2021-06-30,38.00000000000001,fear,4297.5
2021-07-01,38.666666666666664,fear,4319.94
2021-07-02,38.66666666666667,fear,4352.34
2021-07-06,33.300000000000004,fear,4343.54
2021-07-07,33.1,fear,4358.13
2021-07-08,26.96666666666667,fear,4320.82
2021-07-09,31.000000000000004,fear,4369.55
2021-07-12,31.7,fear,4384.63
2021-07-13,31.266666666666666,fear,4369.21
2021-07-14,29.533333333333335,fear,4374.3
2021-07-15,27.33333333333334,fear,4360.03
2021-07-16,26.900000000000002,fear,4327.16
2021-07-19,8.983333333333334,extreme fear,4258.49
2021-07-20,20.066666666666666,extreme fear,4323.06
2021-07-21,24.2,extreme fear,4358.69
2021-07-22,24.333333333333332,extreme fear,4367.48
2021-07-23,28.299999999999997,fear,4411.79
2021-07-26,30.900000000000002,fear,4422.3
2021-07-27,27.166666666666668,fear,4401.46
2021-07-28,27.46666666666667,fear,4400.64
2021-07-29,29.233333333333334,fear,4419.15
2021-07-30,25.76666666666667,fear,4395.26
2021-08-02,25.099999999999998,fear,4387.16
2021-08-03,29.533333333333335,fear,4423.15
2021-08-04,28.633333333333336,fear,4402.66
2021-08-05,29.633333333333336,fear,4429.1
2021-08-06,31.866666666666664,fear,4436.52
2021-08-09,32.06666666666667,fear,4432.35
2021-08-10,34.833333333333336,fear,4436.75
2021-08-11,37.93333333333334,fear,4447.7
2021-08-12,43.13333333333333,fear,4460.83
2021-08-13,47.13333333333333,neutral,4468.0
2021-08-16,44.866666666666674,fear,4479.71
2021-08-17,31.7,fear,4448.08
2021-08-18,18.2,extreme fear,4400.27
2021-08-19,14.883333333333335,extreme fear,4405.8
2021-08-20,23.86666666666667,extreme fear,4441.67
2021-08-23,30.433333333333334,fear,4479.53
2021-08-24,34.4,fear,4486.23
2021-08-25,36.03333333333333,fear,4496.19
2021-08-26,36.833333333333336,fear,4470.0
2021-08-27,47.46666666666667,neutral,4509.37
2021-08-30,47.86666666666667,neutral,4528.79
2021-08-31,47.23333333333333,neutral,4522.68
2021-09-01,43.13333333333333,fear,4524.09
2021-09-02,44.166666666666664,fear,4536.95
2021-09-03,44.06666666666666,fear,4535.43
2021-09-07,41.7,fear,4520.03
2021-09-08,38.56666666666667,fear,4514.07
2021-09-09,33.800000000000004,fear,4493.28
2021-09-10,20.600000000000005,extreme fear,4458.58
2021-09-13,28.266666666666666,fear,4468.73
2021-09-14,24.8,extreme fear,4443.05
2021-09-15,31.200000000000003,fear,4480.7
2021-09-16,31.500000000000004,fear,4473.75
2021-09-17,17.933333333333337,extreme fear,4432.99
2021-09-20,11.100000000000001,extreme fear,4357.73
2021-09-21,11.449999999999998,extreme fear,4354.19
2021-09-22,20.033333333333335,extreme fear,4395.64
2021-09-23,24.5,extreme fear,4448.98
2021-09-24,23.83333333333334,extreme fear,4455.48
2021-09-27,24.766666666666666,extreme fear,4443.11
2021-09-28,12.466666666666669,extreme fear,4352.63
2021-09-29,12.483333333333334,extreme fear,4359.46
2021-09-30,9.966666666666667,extreme fear,4307.54
2021-10-01,18.333333333333332,extreme fear,4357.04
2021-10-04,9.500000000000002,extreme fear,4300.46
2021-10-05,18.766666666666666,extreme fear,4345.72
2021-10-06,20.066666666666666,extreme fear,4363.55
2021-10-07,24.600000000000005,extreme fear,4399.76
2021-10-08,25.26666666666667,fear,4391.34
2021-10-11,25.900000000000002,fear,4361.19
2021-10-12,22.7,extreme fear,4350.65
2021-10-13,24.100000000000005,extreme fear,4363.8
2021-10-14,31.833333333333332,fear,4438.26
2021-10-15,43.63333333333333,fear,4471.37
2021-10-18,46.56666666666666,neutral,4486.46
2021-10-19,53.400000000000006,neutral,4519.63
2021-10-20,56.56666666666667,greed,4536.19
2021-10-21,60.199999999999996,greed,4549.78
2021-10-22,59.5,greed,4544.9
2021-10-25,62.96666666666667,greed,4566.48
2021-10-26,63.03333333333334,greed,4574.79
2021-10-27,58.333333333333336,greed,4551.68
2021-10-28,64.4,greed,4596.42
2021-10-29,65.43333333333334,greed,4605.38
2021-11-01,66.13333333333334,greed,4613.67
2021-11-02,68.26666666666667,greed,4630.65
2021-11-03,72.2,greed,4660.57
2021-11-04,72.43333333333334,greed,4680.06
2021-11-05,73.60000000000001,greed,4697.53
2021-11-08,74.53333333333335,greed,4701.7
2021-11-09,77.17142857142858,extreme greed,4685.25
2021-11-10,73.08571428571429,greed,4646.71
2021-11-11,72.22857142857143,greed,4649.27
2021-11-12,74.0,greed,4682.85
2021-11-15,71.62857142857145,greed,4682.8
2021-11-16,72.48571428571428,greed,4700.9
2021-11-17,69.2,greed,4688.67
2021-11-18,70.14285714285715,greed,4704.54
2021-11-19,62.77142857142859,greed,4697.96
2021-11-22,60.0,greed,4682.94
2021-11-23,60.371428571428574,greed,4690.7
2021-11-24,56.94285714285714,greed,4701.46
2021-11-26,31.25714285714286,fear,4594.62
2021-11-29,38.114285714285714,fear,4655.27
2021-11-30,24.771428571428572,extreme fear,4567.0
2021-12-01,25.357142857142858,fear,4513.04
2021-12-02,22.928571428571427,extreme fear,4577.1
2021-12-03,20.157142857142862,extreme fear,4538.43
2021-12-06,21.25714285714286,extreme fear,4591.67
2021-12-07,37.88571428571429,fear,4686.75
2021-12-08,41.314285714285724,fear,4701.21
2021-12-09,36.85714285714287,fear,4667.45
2021-12-10,42.0,fear,4712.02
2021-12-13,35.4,fear,4668.97
2021-12-14,31.542857142857144,fear,4634.09
2021-12-15,37.800000000000004,fear,4709.85
2021-12-16,33.57142857142858,fear,4668.67
2021-12-17,32.51428571428572,fear,4620.64
2021-12-20,29.428571428571427,fear,4568.02
2021-12-21,34.028571428571425,fear,4649.23
2021-12-22,39.542857142857144,fear,4696.56
2021-12-23,50.48571428571428,neutral,4725.79
2021-12-27,56.39999999999999,greed,4791.19
2021-12-28,62.971428571428575,greed,4786.35
2021-12-29,64.02857142857144,greed,4793.06
2021-12-30,63.97142857142858,greed,4778.73
2021-12-31,62.54285714285715,greed,4766.18
2022-01-03,65.22857142857144,greed,4796.56
2022-01-04,64.25714285714285,greed,4793.54
2022-01-05,51.02857142857143,neutral,4700.58
2022-01-06,52.142857142857146,neutral,4696.05
2022-01-07,49.25714285714287,neutral,4677.03
2022-01-10,51.142857142857146,neutral,4670.29
2022-01-11,56.114285714285714,greed,4713.07
2022-01-12,55.94285714285714,greed,4726.35
2022-01-13,52.17142857142857,neutral,4659.03
2022-01-14,55.800000000000004,greed,4662.85
2022-01-18,53.714285714285715,neutral,4577.11
2022-01-19,44.82857142857143,fear,4532.76
2022-01-20,39.142857142857146,fear,4482.73
2022-01-21,26.728571428571428,fear,4397.94
2022-01-24,23.128571428571433,extreme fear,4410.13
2022-01-25,20.88571428571429,extreme fear,4356.45
2022-01-26,19.514285714285716,extreme fear,4349.93
2022-01-27,18.6,extreme fear,4326.51
2022-01-28,23.857142857142858,extreme fear,4431.85
2022-01-31,29.200000000000006,fear,4515.55
2022-02-01,30.800000000000004,fear,4546.54
2022-02-02,28.800000000000004,fear,4589.38
2022-02-03,26.057142857142857,fear,4477.44
2022-02-04,27.6,fear,4500.53
2022-02-07,27.914285714285715,fear,4483.87
2022-02-08,28.942857142857143,fear,4521.54
2022-02-09,32.65714285714286,fear,4587.18
2022-02-10,33.6,fear,4504.08
2022-02-11,28.48571428571429,fear,4418.64
2022-02-14,25.685714285714287,fear,4401.67
2022-02-15,29.97142857142857,fear,4471.07
2022-02-16,32.08571428571428,fear,4475.01
2022-02-17,32.457142857142856,fear,4380.26
2022-02-18,29.514285714285716,fear,4348.87
2022-02-22,28.771428571428572,fear,4304.76
2022-02-23,18.814285714285713,extreme fear,4225.5
2022-02-24,21.228571428571428,extreme fear,4288.7
2022-02-25,28.142857142857142,fear,4384.65
2022-02-28,25.47142857142857,fear,4373.94
2022-03-01,22.97142857142857,extreme fear,4306.26
2022-03-02,17.82857142857143,extreme fear,4386.54
2022-03-03,21.72857142857143,extreme fear,4363.49
2022-03-04,18.17142857142857,extreme fear,4328.87
2022-03-07,16.9,extreme fear,4201.09
2022-03-08,16.67142857142857,extreme fear,4170.7
2022-03-09,18.028571428571432,extreme fear,4277.88
2022-03-10,17.95714285714286,extreme fear,4259.52
2022-03-11,19.057142857142857,extreme fear,4204.31
2022-03-14,17.5,extreme fear,4173.11
2022-03-15,21.857142857142858,extreme fear,4262.45
2022-03-16,25.25714285714286,fear,4357.86
2022-03-17,33.62857142857143,fear,4411.67
2022-03-18,38.42857142857143,fear,4463.12
2022-03-21,40.971428571428575,fear,4461.18
2022-03-22,44.542857142857144,fear,4511.61
2022-03-23,45.199999999999996,neutral,4456.24
2022-03-24,46.91428571428571,neutral,4520.16
2022-03-25,49.371428571428574,neutral,4543.06
2022-03-28,51.25714285714286,neutral,4575.52
2022-03-29,52.714285714285715,neutral,4631.6
2022-03-30,52.800000000000004,neutral,4602.45
2022-03-31,59.199999999999996,greed,4530.41
2022-04-01,59.800000000000004,greed,4545.86
2022-04-04,61.65714285714286,greed,4582.64
2022-04-05,47.91428571428571,neutral,4525.12
2022-04-06,46.4,neutral,4481.15
2022-04-07,46.82857142857142,neutral,4500.21
2022-04-08,46.08571428571429,neutral,4488.28
2022-04-11,43.4,fear,4412.53
2022-04-12,42.05714285714286,fear,4397.45
2022-04-13,41.800000000000004,fear,4446.59
2022-04-14,39.857142857142854,fear,4392.59
2022-04-18,37.6,fear,4391.69
2022-04-19,39.628571428571426,fear,4462.21
2022-04-20,43.31428571428571,fear,4459.45
2022-04-21,38.94285714285714,fear,4393.66
2022-04-22,31.62857142857143,fear,4271.78
2022-04-25,29.97142857142857,fear,4296.12
2022-04-26,17.900000000000002,extreme fear,4175.2
2022-04-27,16.271428571428572,extreme fear,4183.96
2022-04-28,24.25714285714286,extreme fear,4287.5
2022-04-29,14.328571428571427,extreme fear,4131.93
2022-05-02,13.27142857142857,extreme fear,4155.38
2022-05-03,30.485714285714288,fear,4175.48
2022-05-04,22.400000000000002,extreme fear,4300.17
2022-05-05,13.128571428571432,extreme fear,4146.87
2022-05-06,12.242857142857146,extreme fear,4123.34
2022-05-09,8.185714285714285,extreme fear,3991.24
2022-05-10,7.4,extreme fear,4001.05
2022-05-11,4.028571428571429,extreme fear,3935.18
2022-05-12,3.2,extreme fear,3930.08
2022-05-13,11.285714285714286,extreme fear,4023.89
2022-05-16,11.742857142857144,extreme fear,4008.01
2022-05-17,15.200000000000001,extreme fear,4088.85
2022-05-18,6.6000000000000005,extreme fear,3923.68
2022-05-19,13.714285714285714,extreme fear,3900.79
2022-05-20,12.657142857142858,extreme fear,3901.36
2022-05-23,17.885714285714283,extreme fear,3973.75
2022-05-24,16.0,extreme fear,3941.48
2022-05-25,17.571428571428573,extreme fear,3978.73
2022-05-26,24.114285714285717,extreme fear,4057.84
2022-05-27,29.542857142857144,fear,4158.24
2022-05-31,40.057142857142864,fear,4132.15
2022-06-01,40.60000000000001,fear,4101.23
2022-06-02,44.82857142857143,fear,4176.82
2022-06-03,35.45714285714286,fear,4108.54
2022-06-06,42.800000000000004,fear,4121.43
2022-06-07,45.62857142857143,neutral,4160.68
2022-06-08,48.11428571428571,neutral,4115.77
2022-06-09,47.05714285714286,neutral,4017.82
2022-06-10,40.00000000000001,fear,3900.86
2022-06-13,25.085714285714293,fear,3749.63
2022-06-14,20.528571428571432,extreme fear,3735.48
2022-06-15,29.25714285714286,fear,3789.99
2022-06-16,17.700000000000003,extreme fear,3666.77
2022-06-17,16.92857142857143,extreme fear,3674.84
2022-06-21,19.728571428571428,extreme fear,3764.79
2022-06-22,26.885714285714283,fear,3759.89
2022-06-23,26.742857142857144,fear,3795.73
2022-06-24,30.85714285714286,fear,3911.74
2022-06-27,30.771428571428572,fear,3900.11
2022-06-28,28.142857142857142,fear,3821.55
2022-06-29,26.542857142857144,fear,3818.83
2022-06-30,24.371428571428574,extreme fear,3785.38
2022-07-01,24.571428571428573,extreme fear,3825.33
2022-07-05,22.171428571428574,extreme fear,3831.39
2022-07-06,22.828571428571426,extreme fear,3845.08
2022-07-07,27.599999999999998,fear,3902.62
2022-07-08,31.342857142857145,fear,3899.38
2022-07-11,30.37142857142857,fear,3854.43
2022-07-12,30.314285714285713,fear,3818.8
2022-07-13,27.28571428571428,fear,3801.78
2022-07-14,26.514285714285716,fear,3790.38
2022-07-15,33.285714285714285,fear,3863.16
2022-07-18,35.885714285714286,fear,3830.85
2022-07-19,39.31428571428571,fear,3936.69
2022-07-20,44.08571428571429,fear,3959.9
2022-07-21,48.199999999999996,neutral,3998.95
2022-07-22,42.42857142857143,fear,3961.63
2022-07-25,42.2,fear,3966.84
2022-07-26,42.0,fear,3921.05
2022-07-27,46.628571428571426,neutral,4023.61
2022-07-28,48.48571428571429,neutral,4072.43
2022-07-29,52.4,neutral,4130.29
2022-08-01,59.08571428571429,greed,4118.63
2022-08-02,57.371428571428574,greed,4091.19
2022-08-03,60.25714285714286,greed,4155.17
2022-08-04,61.51428571428571,greed,4151.94
2022-08-05,63.314285714285724,greed,4145.19
2022-08-08,64.74285714285715,greed,4140.06
2022-08-09,64.45714285714286,greed,4122.47
2022-08-10,65.11428571428571,greed,4210.24
2022-08-11,65.82857142857144,greed,4207.27
2022-08-12,68.02857142857144,greed,4280.15
2022-08-15,66.82857142857144,greed,4297.14
2022-08-16,67.94285714285715,greed,4305.2
2022-08-17,67.14285714285715,greed,4274.04
2022-08-18,66.37142857142858,greed,4283.74
2022-08-19,63.714285714285715,greed,4228.48
2022-08-22,60.314285714285724,greed,4137.99
2022-08-23,57.42857142857144,greed,4128.73
2022-08-24,57.51428571428571,greed,4140.77
2022-08-25,58.25714285714287,greed,4199.12
2022-08-26,55.74285714285714,greed,4057.66
2022-08-29,54.285714285714285,neutral,4030.61
2022-08-30,49.800000000000004,neutral,3986.16
2022-08-31,52.08571428571429,neutral,3955.0
2022-09-01,49.371428571428574,neutral,3966.85
2022-09-02,42.457142857142856,fear,3924.26
2022-09-06,40.62857142857143,fear,3908.19
2022-09-07,39.62857142857143,fear,3979.87
